code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,completion
FFF,2013J,69346,M,London Region,A Level or Equivalent,30-40%,0-35,0,90,N,Withdrawn,-68,69,FALSE
FFF,2013J,70495,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Distinction,-100,500,TRUE
FFF,2013J,71252,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Pass,-138,500,TRUE
FFF,2013J,71897,M,South East Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-145,24,FALSE
FFF,2013J,72864,F,Yorkshire Region,Lower Than A Level,Oct-20,35-55,2,60,N,Pass,-159,500,TRUE
FFF,2013J,77744,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-44,500,TRUE
FFF,2013J,77746,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,-173,500,TRUE
FFF,2013J,79261,M,South Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,-29,500,TRUE
FFF,2013J,81536,M,Scotland,Lower Than A Level,80-90%,35-55,1,60,N,Fail,-50,500,TRUE
FFF,2013J,86669,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,220,N,Pass,-39,500,TRUE
FFF,2013J,87042,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Withdrawn,-172,-122,FALSE
FFF,2013J,88781,M,South East Region,A Level or Equivalent,60-70%,0-35,1,60,N,Fail,-85,500,TRUE
FFF,2013J,90901,M,South Region,HE Qualification,20-30%,35-55,0,120,N,Distinction,-32,500,TRUE
FFF,2013J,91629,M,Wales,A Level or Equivalent,20-30%,0-35,2,60,Y,Fail,-44,500,TRUE
FFF,2013J,95746,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,1,60,N,Pass,-179,500,TRUE
FFF,2013J,100064,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,-136,500,TRUE
FFF,2013J,100788,M,Scotland,HE Qualification,80-90%,0-35,0,90,N,Pass,-82,500,TRUE
FFF,2013J,101217,M,London Region,A Level or Equivalent,40-50%,35-55,1,90,Y,Withdrawn,-121,93,FALSE
FFF,2013J,101420,M,Yorkshire Region,Lower Than A Level,30-40%,0-35,0,120,N,Pass,-132,500,TRUE
FFF,2013J,102028,M,South Region,A Level or Equivalent,90-100%,35-55,1,60,N,Distinction,-122,500,TRUE
FFF,2013J,102343,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-66,500,TRUE
FFF,2013J,104213,M,South West Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction,-92,500,TRUE
FFF,2013J,105629,M,South East Region,A Level or Equivalent,Oct-20,35-55,0,60,N,Pass,-58,500,TRUE
FFF,2013J,106690,M,South Region,A Level or Equivalent,40-50%,35-55,0,120,Y,Withdrawn,-87,19,FALSE
FFF,2013J,107028,M,East Midlands Region,Lower Than A Level,Oct-20,0-35,0,90,N,Fail,-58,500,TRUE
FFF,2013J,107084,M,London Region,HE Qualification,0-10%,35-55,0,200,N,Fail,-17,500,TRUE
FFF,2013J,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-16,500,TRUE
FFF,2013J,111678,M,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,-62,500,TRUE
FFF,2013J,112010,M,Scotland,HE Qualification,20-30%,0-35,3,180,Y,Withdrawn,-32,-23,FALSE
FFF,2013J,113487,M,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,Withdrawn,-150,-10,FALSE
FFF,2013J,113565,M,Wales,A Level or Equivalent,80-90%,0-35,0,180,N,Pass,-31,500,TRUE
FFF,2013J,114500,M,London Region,Lower Than A Level,50-60%,35-55,0,120,Y,Fail,-5,500,TRUE
FFF,2013J,116290,M,South Region,A Level or Equivalent,50-60%,0-35,1,120,N,Fail,-128,500,TRUE
FFF,2013J,116499,M,Scotland,Lower Than A Level,50-60%,35-55,0,60,N,Fail,-53,500,TRUE
FFF,2013J,116529,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,120,N,Withdrawn,-103,158,FALSE
FFF,2013J,116631,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,150,N,Withdrawn,-103,45,FALSE
FFF,2013J,116808,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Distinction,-51,500,TRUE
FFF,2013J,117232,M,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-50,500,TRUE
FFF,2013J,118050,M,East Anglian Region,Lower Than A Level,60-70%,0-35,0,90,N,Pass,-129,500,TRUE
FFF,2013J,118176,M,North Region,Lower Than A Level,0-10%,0-35,0,60,N,Withdrawn,-107,17,FALSE
FFF,2013J,124379,F,Wales,A Level or Equivalent,40-50%,0-35,1,90,N,Fail,-22,500,TRUE
FFF,2013J,126074,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn,-136,41,FALSE
FFF,2013J,127642,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,120,N,Pass,-32,500,TRUE
FFF,2013J,128723,F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn,-145,23,FALSE
FFF,2013J,130658,M,South West Region,A Level or Equivalent,60-70%,55<=,0,60,N,Pass,-60,500,TRUE
FFF,2013J,132453,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-30,500,TRUE
FFF,2013J,133019,M,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-11,500,TRUE
FFF,2013J,133185,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-24,500,TRUE
FFF,2013J,133718,M,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-25,500,TRUE
FFF,2013J,134847,M,Scotland,HE Qualification,30-40%,0-35,0,120,N,Withdrawn,-33,67,FALSE
FFF,2013J,136894,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Pass,-130,500,TRUE
FFF,2013J,137903,M,South East Region,Lower Than A Level,90-100%,35-55,1,60,N,Pass,-23,500,TRUE
FFF,2013J,139190,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,150,N,Pass,-113,500,TRUE
FFF,2013J,139278,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-169,500,TRUE
FFF,2013J,139701,M,London Region,Lower Than A Level,40-50%,0-35,1,90,N,Fail,-102,500,TRUE
FFF,2013J,141648,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,-116,500,TRUE
FFF,2013J,143752,F,North Region,Post Graduate Qualification,500,35-55,0,120,N,Withdrawn,-144,27,FALSE
FFF,2013J,144562,M,Wales,Lower Than A Level,Oct-20,0-35,0,90,N,Fail,-59,500,TRUE
FFF,2013J,144959,M,Ireland,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,-143,94,FALSE
FFF,2013J,146738,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,-31,500,TRUE
FFF,2013J,148328,M,Wales,HE Qualification,60-70%,35-55,0,90,N,Withdrawn,-58,62,FALSE
FFF,2013J,148931,M,South East Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-165,-4,FALSE
FFF,2013J,150121,M,East Midlands Region,Lower Than A Level,20-30%,35-55,3,210,Y,Withdrawn,-144,-79,FALSE
FFF,2013J,152037,M,North Western Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-120,-66,FALSE
FFF,2013J,152587,F,South Region,Lower Than A Level,40-50%,35-55,1,90,N,Pass,-50,500,TRUE
FFF,2013J,152887,M,West Midlands Region,Lower Than A Level,500,0-35,0,60,N,Withdrawn,-32,107,FALSE
FFF,2013J,154057,M,South West Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,-30,500,TRUE
FFF,2013J,154059,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,N,Pass,-57,500,TRUE
FFF,2013J,154191,M,Scotland,Lower Than A Level,30-40%,35-55,0,60,N,Distinction,-107,500,TRUE
FFF,2013J,155298,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145,500,TRUE
FFF,2013J,156171,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-92,500,TRUE
FFF,2013J,156755,M,West Midlands Region,HE Qualification,20-30%,35-55,0,120,N,Withdrawn,-125,-38,FALSE
FFF,2013J,157647,M,South East Region,Lower Than A Level,0-10%,0-35,0,150,N,Fail,-96,500,TRUE
FFF,2013J,160310,F,Scotland,Lower Than A Level,40-50%,35-55,1,60,N,Fail,-117,500,TRUE
FFF,2013J,160720,M,Wales,Lower Than A Level,0-10%,0-35,1,90,N,Withdrawn,-73,9,FALSE
FFF,2013J,160934,M,Wales,Lower Than A Level,30-40%,0-35,0,120,N,Fail,-52,500,TRUE
FFF,2013J,160946,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-81,500,TRUE
FFF,2013J,162809,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-75,500,TRUE
FFF,2013J,163120,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-82,500,TRUE
FFF,2013J,168229,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,90,N,Distinction,-36,500,TRUE
FFF,2013J,169908,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-73,500,TRUE
FFF,2013J,170030,M,Wales,HE Qualification,20-30%,0-35,1,60,N,Distinction,-54,500,TRUE
FFF,2013J,170943,M,London Region,A Level or Equivalent,60-70%,0-35,1,150,N,Pass,-61,500,TRUE
FFF,2013J,171304,M,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-39,500,TRUE
FFF,2013J,171549,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,-150,116,FALSE
FFF,2013J,171692,F,Wales,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,-92,500,TRUE
FFF,2013J,173412,M,North Region,HE Qualification,20-30%,0-35,0,60,N,Withdrawn,-108,184,FALSE
FFF,2013J,174468,M,East Anglian Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,-33,500,TRUE
FFF,2013J,175453,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-54,500,TRUE
FFF,2013J,177568,M,South Region,A Level or Equivalent,80-90%,0-35,2,60,N,Pass,-33,500,TRUE
FFF,2013J,178118,M,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,-114,500,TRUE
FFF,2013J,178258,F,West Midlands Region,HE Qualification,Oct-20,35-55,0,270,N,Withdrawn,-171,-92,FALSE
FFF,2013J,180974,M,South West Region,A Level or Equivalent,40-50%,35-55,1,60,N,Pass,-80,500,TRUE
FFF,2013J,184473,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-33,500,TRUE
FFF,2013J,184627,F,London Region,HE Qualification,0-10%,35-55,3,90,N,Withdrawn,-37,75,FALSE
FFF,2013J,184720,M,Wales,Lower Than A Level,Oct-20,0-35,2,90,N,Withdrawn,-29,100,FALSE
FFF,2013J,184925,M,East Midlands Region,Lower Than A Level,Oct-20,35-55,0,60,N,Withdrawn,-75,-46,FALSE
FFF,2013J,187199,M,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-47,500,TRUE
FFF,2013J,188524,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Withdrawn,-117,200,FALSE
FFF,2013J,190910,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-173,500,TRUE
FFF,2013J,192680,M,South West Region,Lower Than A Level,30-40%,0-35,0,90,N,Pass,-43,500,TRUE
FFF,2013J,198691,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-86,500,TRUE
FFF,2013J,199361,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-45,500,TRUE
FFF,2013J,200278,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-149,49,FALSE
FFF,2013J,202713,F,London Region,Lower Than A Level,20-30%,0-35,1,60,Y,Fail,-80,500,TRUE
FFF,2013J,206342,M,South Region,A Level or Equivalent,80-90%,35-55,1,60,N,Fail,-82,500,TRUE
FFF,2013J,206599,M,South West Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,-66,500,TRUE
FFF,2013J,227254,M,Wales,Lower Than A Level,Oct-20,0-35,0,120,N,Fail,-29,500,TRUE
FFF,2013J,228695,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-127,500,TRUE
FFF,2013J,229191,M,London Region,A Level or Equivalent,Oct-20,35-55,0,120,N,Withdrawn,-103,-29,FALSE
FFF,2013J,229417,M,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-80,500,TRUE
FFF,2013J,231024,M,South Region,Lower Than A Level,80-90%,35-55,0,60,Y,Pass,-33,500,TRUE
FFF,2013J,231320,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,150,N,Withdrawn,-93,37,FALSE
FFF,2013J,231606,M,Wales,Lower Than A Level,60-70%,35-55,0,60,N,Fail,-68,500,TRUE
FFF,2013J,232347,M,South Region,A Level or Equivalent,60-70%,0-35,0,180,N,Pass,-19,500,TRUE
FFF,2013J,232660,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-54,500,TRUE
FFF,2013J,232764,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,2,90,N,Pass,-51,500,TRUE
FFF,2013J,232856,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,-171,500,TRUE
FFF,2013J,233087,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,90,Y,Distinction,-82,500,TRUE
FFF,2013J,234004,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-33,0,FALSE
FFF,2013J,234068,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,90,N,Fail,-94,500,TRUE
FFF,2013J,235131,F,Yorkshire Region,HE Qualification,0-10%,0-35,2,120,N,Withdrawn,-67,166,FALSE
FFF,2013J,235670,M,London Region,Lower Than A Level,80-90%,35-55,0,90,N,Pass,-143,500,TRUE
FFF,2013J,235706,M,West Midlands Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-103,500,TRUE
FFF,2013J,235978,M,London Region,A Level or Equivalent,60-70%,35-55,0,90,N,Pass,-80,500,TRUE
FFF,2013J,236150,F,Wales,HE Qualification,80-90%,35-55,0,120,N,Withdrawn,-176,-157,FALSE
FFF,2013J,237387,F,East Anglian Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-37,130,FALSE
FFF,2013J,238150,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-61,500,TRUE
FFF,2013J,241039,M,West Midlands Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-58,500,TRUE
FFF,2013J,241792,M,South Region,A Level or Equivalent,50-60%,35-55,0,90,N,Withdrawn,-121,26,FALSE
FFF,2013J,242491,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,Y,Distinction,-90,500,TRUE
FFF,2013J,243351,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,-68,-36,FALSE
FFF,2013J,243396,M,North Western Region,Lower Than A Level,80-90%,0-35,0,120,N,Fail,-33,500,TRUE
FFF,2013J,244205,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-82,500,TRUE
FFF,2013J,245283,M,London Region,A Level or Equivalent,0-10%,35-55,0,120,N,Pass,-66,500,TRUE
FFF,2013J,248882,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-33,500,TRUE
FFF,2013J,249750,F,Scotland,HE Qualification,Oct-20,0-35,0,90,N,Pass,-85,500,TRUE
FFF,2013J,251405,M,South West Region,A Level or Equivalent,50-60%,0-35,1,60,N,Pass,-47,500,TRUE
FFF,2013J,251965,M,London Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-127,500,TRUE
FFF,2013J,253516,M,Yorkshire Region,Lower Than A Level,Oct-20,0-35,0,60,Y,Fail,-15,500,TRUE
FFF,2013J,253767,M,South East Region,A Level or Equivalent,90-100%,0-35,0,270,N,Pass,-36,500,TRUE
FFF,2013J,254446,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-46,500,TRUE
FFF,2013J,255310,M,East Midlands Region,HE Qualification,80-90%,0-35,0,90,N,Pass,-79,500,TRUE
FFF,2013J,256905,M,North Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail,-23,500,TRUE
FFF,2013J,257887,M,Ireland,HE Qualification,500,0-35,0,60,N,Pass,-67,500,TRUE
FFF,2013J,257970,M,East Midlands Region,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn,-79,39,FALSE
FFF,2013J,259609,M,East Midlands Region,Lower Than A Level,20-30%,0-35,2,180,Y,Withdrawn,-124,-36,FALSE
FFF,2013J,261205,M,North Region,Lower Than A Level,0-10%,35-55,1,60,N,Fail,-85,500,TRUE
FFF,2013J,261525,M,South East Region,Lower Than A Level,40-50%,0-35,2,120,N,Withdrawn,-123,139,FALSE
FFF,2013J,262403,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,-86,500,TRUE
FFF,2013J,264164,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-17,500,TRUE
FFF,2013J,264924,M,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-107,-12,FALSE
FFF,2013J,265268,M,North Western Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass,-68,500,TRUE
FFF,2013J,265978,M,North Region,Lower Than A Level,500,35-55,0,60,N,Pass,-95,500,TRUE
FFF,2013J,268153,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,N,Pass,-89,500,TRUE
FFF,2013J,268343,F,East Midlands Region,Lower Than A Level,Oct-20,0-35,0,60,N,Withdrawn,-127,0,FALSE
FFF,2013J,269245,M,London Region,HE Qualification,Oct-20,35-55,0,120,N,Withdrawn,-62,78,FALSE
FFF,2013J,269508,M,Ireland,HE Qualification,500,35-55,0,60,N,Pass,-52,500,TRUE
FFF,2013J,271274,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,-113,500,TRUE
FFF,2013J,271702,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-195,-169,FALSE
FFF,2013J,272623,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-32,124,FALSE
FFF,2013J,273442,M,North Region,A Level or Equivalent,500,0-35,0,60,N,Pass,-135,500,TRUE
FFF,2013J,273782,M,Wales,HE Qualification,90-100%,35-55,0,60,N,Pass,-24,500,TRUE
FFF,2013J,274443,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,Fail,-142,500,TRUE
FFF,2013J,276388,M,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-150,500,TRUE
FFF,2013J,276808,F,North Western Region,A Level or Equivalent,Oct-20,0-35,1,60,N,Pass,-29,500,TRUE
FFF,2013J,278955,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-53,500,TRUE
FFF,2013J,279069,M,North Western Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn,-87,-68,FALSE
FFF,2013J,279085,M,London Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-33,500,TRUE
FFF,2013J,279750,M,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-36,500,TRUE
FFF,2013J,281638,F,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-47,500,TRUE
FFF,2013J,282385,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail,-26,500,TRUE
FFF,2013J,282975,F,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-75,500,TRUE
FFF,2013J,283953,F,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-19,500,TRUE
FFF,2013J,284036,M,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,-62,500,TRUE
FFF,2013J,284395,M,London Region,A Level or Equivalent,30-40%,35-55,1,60,N,Pass,-142,500,TRUE
FFF,2013J,284636,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-101,500,TRUE
FFF,2013J,284742,M,East Midlands Region,Lower Than A Level,Oct-20,0-35,0,60,N,Withdrawn,-150,0,FALSE
FFF,2013J,286442,M,Scotland,HE Qualification,50-60%,35-55,0,60,Y,Withdrawn,-71,60,FALSE
FFF,2013J,287079,M,London Region,HE Qualification,40-50%,0-35,1,60,N,Withdrawn,-31,110,FALSE
FFF,2013J,289221,F,South Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-149,500,TRUE
FFF,2013J,289304,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,90,Y,Pass,-29,500,TRUE
FFF,2013J,289826,F,Scotland,Lower Than A Level,Oct-20,0-35,1,150,N,Withdrawn,-32,30,FALSE
FFF,2013J,290521,M,London Region,Lower Than A Level,Oct-20,0-35,0,120,N,Pass,-129,500,TRUE
FFF,2013J,291237,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,180,N,Distinction,-52,500,TRUE
FFF,2013J,291516,F,Yorkshire Region,Lower Than A Level,70-80%,35-55,2,60,N,Fail,-66,500,TRUE
FFF,2013J,291745,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-31,500,TRUE
FFF,2013J,293317,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-53,144,FALSE
FFF,2013J,295255,M,Ireland,A Level or Equivalent,500,0-35,0,60,N,Pass,-15,500,TRUE
FFF,2013J,296100,M,London Region,HE Qualification,Oct-20,0-35,0,150,N,Withdrawn,-31,12,FALSE
FFF,2013J,299281,M,North Region,A Level or Equivalent,500,0-35,1,60,N,Pass,-149,500,TRUE
FFF,2013J,299886,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,210,N,Pass,-166,500,TRUE
FFF,2013J,301128,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-95,-44,FALSE
FFF,2013J,302071,M,South East Region,Lower Than A Level,40-50%,0-35,0,90,Y,Fail,-123,500,TRUE
FFF,2013J,302566,M,South West Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,-150,500,TRUE
FFF,2013J,303937,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-128,500,TRUE
FFF,2013J,304240,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-184,500,TRUE
FFF,2013J,304589,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Distinction,-108,500,TRUE
FFF,2013J,305858,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,90,Y,Pass,-109,500,TRUE
FFF,2013J,307245,M,North Region,Lower Than A Level,70-80%,0-35,2,60,N,Fail,-150,500,TRUE
FFF,2013J,307676,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,-29,500,TRUE
FFF,2013J,309150,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Withdrawn,-58,89,FALSE
FFF,2013J,309893,M,North Western Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Pass,-47,500,TRUE
FFF,2013J,310646,M,Yorkshire Region,Lower Than A Level,Oct-20,0-35,0,90,N,Pass,-26,500,TRUE
FFF,2013J,310899,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-113,-45,FALSE
FFF,2013J,311151,M,North Region,Lower Than A Level,500,35-55,2,60,N,Withdrawn,-31,46,FALSE
FFF,2013J,312760,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-15,500,TRUE
FFF,2013J,313206,M,Wales,Lower Than A Level,20-30%,0-35,1,60,Y,Fail,-45,500,TRUE
FFF,2013J,313700,M,Ireland,Lower Than A Level,Oct-20,0-35,0,90,N,Fail,-75,500,TRUE
FFF,2013J,314776,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-36,500,TRUE
