,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,completion
23979,FFF,2013J,126074,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn,-136.0,41.0,False
23980,FFF,2013J,127642,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,120,N,Pass,-32.0,,True
23981,FFF,2013J,128723,F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn,-145.0,23.0,False
23982,FFF,2013J,130658,M,South West Region,A Level or Equivalent,60-70%,55<=,0,60,N,Pass,-60.0,,True
23983,FFF,2013J,132453,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-30.0,,True
23984,FFF,2013J,133019,M,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-11.0,,True
23985,FFF,2013J,133185,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-24.0,,True
23986,FFF,2013J,133718,M,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-25.0,,True
23987,FFF,2013J,134847,M,Scotland,HE Qualification,30-40%,0-35,0,120,N,Withdrawn,-33.0,67.0,False
23988,FFF,2013J,136894,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Pass,-130.0,,True
23989,FFF,2013J,137903,M,South East Region,Lower Than A Level,90-100%,35-55,1,60,N,Pass,-23.0,,True
23990,FFF,2013J,139190,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,150,N,Pass,-113.0,,True
23991,FFF,2013J,139278,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-169.0,,True
23992,FFF,2013J,139701,M,London Region,Lower Than A Level,40-50%,0-35,1,90,N,Fail,-102.0,,True
23993,FFF,2013J,141648,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,-116.0,,True
23994,FFF,2013J,143752,F,North Region,Post Graduate Qualification,,35-55,0,120,N,Withdrawn,-144.0,27.0,False
23995,FFF,2013J,144562,M,Wales,Lower Than A Level,10-20,0-35,0,90,N,Fail,-59.0,,True
23996,FFF,2013J,144959,M,Ireland,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn,-143.0,94.0,False
23997,FFF,2013J,146738,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction,-31.0,,True
23998,FFF,2013J,148328,M,Wales,HE Qualification,60-70%,35-55,0,90,N,Withdrawn,-58.0,62.0,False
23999,FFF,2013J,148931,M,South East Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-165.0,-4.0,False
24000,FFF,2013J,150121,M,East Midlands Region,Lower Than A Level,20-30%,35-55,3,210,Y,Withdrawn,-144.0,-79.0,False
24001,FFF,2013J,152037,M,North Western Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-120.0,-66.0,False
24002,FFF,2013J,152587,F,South Region,Lower Than A Level,40-50%,35-55,1,90,N,Pass,-50.0,,True
24003,FFF,2013J,152887,M,West Midlands Region,Lower Than A Level,,0-35,0,60,N,Withdrawn,-32.0,107.0,False
24004,FFF,2013J,154057,M,South West Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail,-30.0,,True
24005,FFF,2013J,154059,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,N,Pass,-57.0,,True
24006,FFF,2013J,154191,M,Scotland,Lower Than A Level,30-40%,35-55,0,60,N,Distinction,-107.0,,True
24007,FFF,2013J,155298,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145.0,,True
24008,FFF,2013J,156171,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-92.0,,True
24009,FFF,2013J,156755,M,West Midlands Region,HE Qualification,20-30%,35-55,0,120,N,Withdrawn,-125.0,-38.0,False
24010,FFF,2013J,157647,M,South East Region,Lower Than A Level,0-10%,0-35,0,150,N,Fail,-96.0,,True
24011,FFF,2013J,160310,F,Scotland,Lower Than A Level,40-50%,35-55,1,60,N,Fail,-117.0,,True
24012,FFF,2013J,160720,M,Wales,Lower Than A Level,0-10%,0-35,1,90,N,Withdrawn,-73.0,9.0,False
24013,FFF,2013J,160934,M,Wales,Lower Than A Level,30-40%,0-35,0,120,N,Fail,-52.0,,True
24014,FFF,2013J,160946,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-81.0,,True
24015,FFF,2013J,162809,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-75.0,,True
24016,FFF,2013J,163120,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-82.0,,True
24017,FFF,2013J,168229,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,90,N,Distinction,-36.0,,True
24018,FFF,2013J,169908,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-73.0,,True
24019,FFF,2013J,170030,M,Wales,HE Qualification,20-30%,0-35,1,60,N,Distinction,-54.0,,True
24020,FFF,2013J,170943,M,London Region,A Level or Equivalent,60-70%,0-35,1,150,N,Pass,-61.0,,True
24021,FFF,2013J,171304,M,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-39.0,,True
24022,FFF,2013J,171549,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,-150.0,116.0,False
24023,FFF,2013J,171692,F,Wales,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,-92.0,,True
24024,FFF,2013J,173412,M,North Region,HE Qualification,20-30%,0-35,0,60,N,Withdrawn,-108.0,184.0,False
24025,FFF,2013J,174468,M,East Anglian Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,-33.0,,True
24026,FFF,2013J,175453,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-54.0,,True
24027,FFF,2013J,177568,M,South Region,A Level or Equivalent,80-90%,0-35,2,60,N,Pass,-33.0,,True
24028,FFF,2013J,178118,M,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail,-114.0,,True
24029,FFF,2013J,178258,F,West Midlands Region,HE Qualification,10-20,35-55,0,270,N,Withdrawn,-171.0,-92.0,False
24030,FFF,2013J,180974,M,South West Region,A Level or Equivalent,40-50%,35-55,1,60,N,Pass,-80.0,,True
24031,FFF,2013J,184473,M,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-33.0,,True
24032,FFF,2013J,184627,F,London Region,HE Qualification,0-10%,35-55,3,90,N,Withdrawn,-37.0,75.0,False
24033,FFF,2013J,184720,M,Wales,Lower Than A Level,10-20,0-35,2,90,N,Withdrawn,-29.0,100.0,False
24034,FFF,2013J,184925,M,East Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-75.0,-46.0,False
24035,FFF,2013J,187199,M,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-47.0,,True
24036,FFF,2013J,188524,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Withdrawn,-117.0,200.0,False
24037,FFF,2013J,190910,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-173.0,,True
24038,FFF,2013J,192680,M,South West Region,Lower Than A Level,30-40%,0-35,0,90,N,Pass,-43.0,,True
24039,FFF,2013J,198691,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-86.0,,True
24040,FFF,2013J,199361,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-45.0,,True
24041,FFF,2013J,200278,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-149.0,49.0,False
24042,FFF,2013J,202713,F,London Region,Lower Than A Level,20-30%,0-35,1,60,Y,Fail,-80.0,,True
24043,FFF,2013J,206342,M,South Region,A Level or Equivalent,80-90%,35-55,1,60,N,Fail,-82.0,,True
24044,FFF,2013J,206599,M,South West Region,A Level or Equivalent,90-100%,0-35,0,90,N,Pass,-66.0,,True
24045,FFF,2013J,227254,M,Wales,Lower Than A Level,10-20,0-35,0,120,N,Fail,-29.0,,True
24046,FFF,2013J,228695,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-127.0,,True
24047,FFF,2013J,229191,M,London Region,A Level or Equivalent,10-20,35-55,0,120,N,Withdrawn,-103.0,-29.0,False
24048,FFF,2013J,229417,M,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-80.0,,True
24049,FFF,2013J,231024,M,South Region,Lower Than A Level,80-90%,35-55,0,60,Y,Pass,-33.0,,True
24050,FFF,2013J,231320,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,150,N,Withdrawn,-93.0,37.0,False
24051,FFF,2013J,231606,M,Wales,Lower Than A Level,60-70%,35-55,0,60,N,Fail,-68.0,,True
24052,FFF,2013J,232347,M,South Region,A Level or Equivalent,60-70%,0-35,0,180,N,Pass,-19.0,,True
24053,FFF,2013J,232660,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-54.0,,True
24054,FFF,2013J,232764,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,2,90,N,Pass,-51.0,,True
24055,FFF,2013J,232856,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction,-171.0,,True
24056,FFF,2013J,233087,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,90,Y,Distinction,-82.0,,True
24057,FFF,2013J,234004,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,-33.0,0.0,False
24058,FFF,2013J,234068,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,90,N,Fail,-94.0,,True
24059,FFF,2013J,235131,F,Yorkshire Region,HE Qualification,0-10%,0-35,2,120,N,Withdrawn,-67.0,166.0,False
24060,FFF,2013J,235670,M,London Region,Lower Than A Level,80-90%,35-55,0,90,N,Pass,-143.0,,True
24061,FFF,2013J,235706,M,West Midlands Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail,-103.0,,True
24062,FFF,2013J,235978,M,London Region,A Level or Equivalent,60-70%,35-55,0,90,N,Pass,-80.0,,True
24063,FFF,2013J,236150,F,Wales,HE Qualification,80-90%,35-55,0,120,N,Withdrawn,-176.0,-157.0,False
24064,FFF,2013J,237387,F,East Anglian Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-37.0,130.0,False
24065,FFF,2013J,238150,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-61.0,,True
24066,FFF,2013J,241039,M,West Midlands Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-58.0,,True
24067,FFF,2013J,241792,M,South Region,A Level or Equivalent,50-60%,35-55,0,90,N,Withdrawn,-121.0,26.0,False
24068,FFF,2013J,242491,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,Y,Distinction,-90.0,,True
24069,FFF,2013J,243351,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn,-68.0,-36.0,False
24070,FFF,2013J,243396,M,North Western Region,Lower Than A Level,80-90%,0-35,0,120,N,Fail,-33.0,,True
24071,FFF,2013J,244205,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-82.0,,True
24072,FFF,2013J,245283,M,London Region,A Level or Equivalent,0-10%,35-55,0,120,N,Pass,-66.0,,True
24073,FFF,2013J,248882,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-33.0,,True
24074,FFF,2013J,249750,F,Scotland,HE Qualification,10-20,0-35,0,90,N,Pass,-85.0,,True
24075,FFF,2013J,251405,M,South West Region,A Level or Equivalent,50-60%,0-35,1,60,N,Pass,-47.0,,True
24076,FFF,2013J,251965,M,London Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,-127.0,,True
24077,FFF,2013J,253516,M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,60,Y,Fail,-15.0,,True
24078,FFF,2013J,253767,M,South East Region,A Level or Equivalent,90-100%,0-35,0,270,N,Pass,-36.0,,True
24079,FFF,2013J,254446,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-46.0,,True
24080,FFF,2013J,255310,M,East Midlands Region,HE Qualification,80-90%,0-35,0,90,N,Pass,-79.0,,True
24081,FFF,2013J,256905,M,North Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail,-23.0,,True
24082,FFF,2013J,257887,M,Ireland,HE Qualification,,0-35,0,60,N,Pass,-67.0,,True
24083,FFF,2013J,257970,M,East Midlands Region,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn,-79.0,39.0,False
24084,FFF,2013J,259609,M,East Midlands Region,Lower Than A Level,20-30%,0-35,2,180,Y,Withdrawn,-124.0,-36.0,False
24085,FFF,2013J,261205,M,North Region,Lower Than A Level,0-10%,35-55,1,60,N,Fail,-85.0,,True
24086,FFF,2013J,261525,M,South East Region,Lower Than A Level,40-50%,0-35,2,120,N,Withdrawn,-123.0,139.0,False
24087,FFF,2013J,262403,F,South Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,-86.0,,True
24088,FFF,2013J,264164,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-17.0,,True
24089,FFF,2013J,264924,M,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn,-107.0,-12.0,False
24090,FFF,2013J,265268,M,North Western Region,Lower Than A Level,60-70%,0-35,1,120,N,Pass,-68.0,,True
24091,FFF,2013J,265978,M,North Region,Lower Than A Level,,35-55,0,60,N,Pass,-95.0,,True
24092,FFF,2013J,268153,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,N,Pass,-89.0,,True
24093,FFF,2013J,268343,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-127.0,0.0,False
24094,FFF,2013J,269245,M,London Region,HE Qualification,10-20,35-55,0,120,N,Withdrawn,-62.0,78.0,False
24095,FFF,2013J,269508,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-52.0,,True
24096,FFF,2013J,271274,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,-113.0,,True
24097,FFF,2013J,271702,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-195.0,-169.0,False
24098,FFF,2013J,272623,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-32.0,124.0,False
24099,FFF,2013J,273442,M,North Region,A Level or Equivalent,,0-35,0,60,N,Pass,-135.0,,True
24100,FFF,2013J,273782,M,Wales,HE Qualification,90-100%,35-55,0,60,N,Pass,-24.0,,True
24101,FFF,2013J,274443,M,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,Fail,-142.0,,True
24102,FFF,2013J,276388,M,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-150.0,,True
24103,FFF,2013J,276808,F,North Western Region,A Level or Equivalent,10-20,0-35,1,60,N,Pass,-29.0,,True
24104,FFF,2013J,278955,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-53.0,,True
24105,FFF,2013J,279069,M,North Western Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn,-87.0,-68.0,False
24106,FFF,2013J,279085,M,London Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-33.0,,True
24107,FFF,2013J,279750,M,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-36.0,,True
24108,FFF,2013J,281638,F,Ireland,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-47.0,,True
24109,FFF,2013J,282385,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail,-26.0,,True
24110,FFF,2013J,282975,F,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-75.0,,True
24111,FFF,2013J,283953,F,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-19.0,,True
24112,FFF,2013J,284036,M,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,-62.0,,True
24113,FFF,2013J,284395,M,London Region,A Level or Equivalent,30-40%,35-55,1,60,N,Pass,-142.0,,True
24114,FFF,2013J,284636,M,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-101.0,,True
24115,FFF,2013J,284742,M,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-150.0,0.0,False
24116,FFF,2013J,286442,M,Scotland,HE Qualification,50-60%,35-55,0,60,Y,Withdrawn,-71.0,60.0,False
24117,FFF,2013J,287079,M,London Region,HE Qualification,40-50%,0-35,1,60,N,Withdrawn,-31.0,110.0,False
24118,FFF,2013J,289221,F,South Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-149.0,,True
24119,FFF,2013J,289304,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,90,Y,Pass,-29.0,,True
24120,FFF,2013J,289826,F,Scotland,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,-32.0,30.0,False
24121,FFF,2013J,290521,M,London Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,-129.0,,True
24122,FFF,2013J,291237,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,180,N,Distinction,-52.0,,True
24123,FFF,2013J,291516,F,Yorkshire Region,Lower Than A Level,70-80%,35-55,2,60,N,Fail,-66.0,,True
24124,FFF,2013J,291745,M,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-31.0,,True
24125,FFF,2013J,293317,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn,-53.0,144.0,False
24126,FFF,2013J,295255,M,Ireland,A Level or Equivalent,,0-35,0,60,N,Pass,-15.0,,True
24127,FFF,2013J,296100,M,London Region,HE Qualification,10-20,0-35,0,150,N,Withdrawn,-31.0,12.0,False
24128,FFF,2013J,299281,M,North Region,A Level or Equivalent,,0-35,1,60,N,Pass,-149.0,,True
24129,FFF,2013J,299886,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,210,N,Pass,-166.0,,True
24130,FFF,2013J,301128,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-95.0,-44.0,False
24131,FFF,2013J,302071,M,South East Region,Lower Than A Level,40-50%,0-35,0,90,Y,Fail,-123.0,,True
24132,FFF,2013J,302566,M,South West Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,-150.0,,True
24133,FFF,2013J,303937,M,Wales,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-128.0,,True
24134,FFF,2013J,304240,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-184.0,,True
24135,FFF,2013J,304589,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Distinction,-108.0,,True
24136,FFF,2013J,305858,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,90,Y,Pass,-109.0,,True
24137,FFF,2013J,307245,M,North Region,Lower Than A Level,70-80%,0-35,2,60,N,Fail,-150.0,,True
24138,FFF,2013J,307676,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,-29.0,,True
24139,FFF,2013J,309150,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Withdrawn,-58.0,89.0,False
24140,FFF,2013J,309893,M,North Western Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-47.0,,True
24141,FFF,2013J,310646,M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,90,N,Pass,-26.0,,True
24142,FFF,2013J,310899,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-113.0,-45.0,False
